kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,block,grid_blocks
atomic_hotspot,--N 262144 --block 256 --iters 50 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,10,50,20,0.364426,0.120996,,262144,1,256,1024
atomic_hotspot,--N 1048576 --block 256 --iters 50 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,10,50,20,1.452027,0.482986,,1048576,1,256,4096
atomic_hotspot,--N 4194304 --block 256 --iters 50 --warmup 10 --reps 50,7,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,10,50,20,5.804046,1.935850,,4194304,1,256,16384
conv2d_3x3,--H 512 --W 512 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 4070,16,16,1,32,32,1,10,50,10,0.009425,0.001203,,512,512,256,1024
conv2d_3x3,--H 1024 --W 1024 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 4070,16,16,1,64,64,1,10,50,10,0.017922,0.000026,,1024,1024,256,4096
conv2d_3x3,--H 2048 --W 2048 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 4070,16,16,1,128,128,1,10,50,10,0.065527,0.000023,,2048,2048,256,16384
conv2d_3x3,--H 4096 --W 4096 --warmup 10 --reps 50,30,0,NVIDIA GeForce RTX 4070,16,16,1,256,256,1,10,50,10,0.311467,0.000094,,4096,4096,256,65536
conv2d_7x7,--H 512 --W 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,32,32,1,10,50,10,0.021477,0.000066,,512,512,256,1024
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,64,64,1,10,50,10,0.077959,0.000031,,1024,1024,256,4096
conv2d_7x7,--H 2048 --W 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,128,128,1,10,50,10,0.304562,0.000071,,2048,2048,256,16384
conv2d_7x7,--H 4096 --W 4096 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,256,256,1,10,50,10,1.214728,0.000046,,4096,4096,256,65536
dot_product,--N 262144 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.009614,0.000208,,262144,1,256,1024
dot_product,--N 1048576 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.014516,0.000047,,1048576,1,256,4096
dot_product,--N 4194304 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.051273,0.000022,,4194304,1,256,16384
dot_product,--N 16777216 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.294004,0.000066,,16777216,1,256,65536
histogram,--N 262144 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,10,50,10,0.014318,0.000022,,262144,1,256,1024
histogram,--N 1048576 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,10,50,10,0.051429,0.000070,,1048576,1,256,4096
histogram,--N 4194304 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,10,50,10,0.199951,0.000279,,4194304,1,256,16384
histogram,--N 16777216 --block 256 --warmup 10 --reps 50,10,1024,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,10,50,10,0.794261,0.001139,,16777216,1,256,65536
matmul_naive,--matN 256 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,16,16,1,10,50,10,0.030144,0.000084,,256,256,256,256
matmul_naive,--matN 512 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,32,32,1,10,50,10,0.203967,0.000047,,512,512,256,1024
matmul_naive,--matN 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,64,64,1,10,50,10,1.555728,0.000069,,1024,1024,256,4096
matmul_naive,--matN 2048 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 4070,16,16,1,128,128,1,10,50,10,12.282360,0.000182,,2048,2048,256,16384
matmul_tiled,--matN 256 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,8,8,1,10,50,10,0.030239,0.000064,,256,256,1024,64
matmul_tiled,--matN 512 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,16,16,1,10,50,10,0.168609,0.000021,,512,512,1024,256
matmul_tiled,--matN 1024 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,32,32,1,10,50,10,1.265955,0.000052,,1024,1024,1024,1024
matmul_tiled,--matN 2048 --warmup 10 --reps 50,37,8192,NVIDIA GeForce RTX 4070,32,32,1,64,64,1,10,50,10,9.871057,0.000324,,2048,2048,1024,4096
naive_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,32,32,1,20,100,10,0.009420,0.000180,,512,512,256,1024
naive_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,64,64,1,20,100,10,0.032058,0.000067,,1024,1024,256,4096
naive_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,128,128,1,20,100,10,0.126099,0.000035,,2048,2048,256,16384
naive_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,16,16,1,256,256,1,20,100,10,0.554281,0.000093,,4096,4096,256,65536
random_access,--N 262144 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.008670,0.001498,,262144,1,256,1024
random_access,--N 1048576 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.008904,0.000538,,1048576,1,256,4096
random_access,--N 4194304 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.026520,0.000031,,4194304,1,256,16384
random_access,--N 16777216 --block 256 --warmup 20 --reps 100,10,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.302204,0.000100,,16777216,1,256,65536
reduce_sum,--N 262144 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.009145,0.001393,,262144,1,256,1024
reduce_sum,--N 1048576 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.013671,0.000042,,1048576,1,256,4096
reduce_sum,--N 4194304 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.048103,0.000022,,4194304,1,256,16384
reduce_sum,--N 16777216 --block 256 --warmup 20 --reps 100,10,1024,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.190793,0.000037,,16777216,1,256,65536
saxpy,--N 262144 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.009312,0.000078,,262144,1,256,1024
saxpy,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.009304,0.000250,,1048576,1,256,4096
saxpy,--N 4194304 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.106717,0.000355,,4194304,1,256,16384
saxpy,--N 16777216 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.450017,0.000111,,16777216,1,256,65536
shared_bank_conflict,--warmup 20 --reps 100,206,4096,NVIDIA GeForce RTX 4070,1024,1,1,1,1,1,20,100,10,0.005374,0.000144,,0,0,1024,1
shared_transpose,--rows 512 --cols 512 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,16,16,1,20,100,10,0.008905,0.000324,,512,512,1024,256
shared_transpose,--rows 1024 --cols 1024 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,32,32,1,20,100,10,0.013185,0.000019,,1024,1024,1024,1024
shared_transpose,--rows 2048 --cols 2048 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,64,64,1,20,100,10,0.047134,0.000028,,2048,2048,1024,4096
shared_transpose,--rows 4096 --cols 4096 --warmup 20 --reps 100,10,4224,NVIDIA GeForce RTX 4070,32,32,1,128,128,1,20,100,10,0.418856,0.000034,,4096,4096,1024,16384
strided_copy_8,--N 262144 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.008674,0.000619,,262144,1,256,1024
strided_copy_8,--N 1048576 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.009340,0.000202,,1048576,1,256,4096
strided_copy_8,--N 4194304 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.028868,0.000031,,4194304,1,256,16384
strided_copy_8,--N 16777216 --block 256 --warmup 20 --reps 100,8,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.322753,0.000046,,16777216,1,256,65536
vector_add,--N 262144 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.008946,0.000464,,262144,1,256,1024
vector_add,--N 1048576 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.009351,0.000265,,1048576,1,256,4096
vector_add,--N 4194304 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.106451,0.000240,,4194304,1,256,16384
vector_add,--N 16777216 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.449989,0.000103,,16777216,1,256,65536
vector_add_divergent,--N 262144 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,1024,1,1,20,100,10,0.015417,0.000041,,262144,1,256,1024
vector_add_divergent,--N 1048576 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,4096,1,1,20,100,10,0.054719,0.001459,,1048576,1,256,4096
vector_add_divergent,--N 4194304 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,16384,1,1,20,100,10,0.212610,0.000021,,4194304,1,256,16384
vector_add_divergent,--N 16777216 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce RTX 4070,256,1,1,65536,1,1,20,100,10,0.840235,0.000058,,16777216,1,256,65536
