kernel,regs,shmem,reps,mean_ms,std_ms,N,rows,cols,iters,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,gpu_device_name,gpu_cc_major,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops,T1_model_ms,speedup_model
atomic_hotspot,7,0,50,0.364914,0.121177,262144,0,0,50,256,1024,N,0,104857600,0.000000,4,0,atomics_hotspot,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,287.35,0.00,7.506920,20.57
atomic_hotspot,7,0,50,1.452348,0.482618,1048576,0,0,50,256,4096,N,0,419430400,0.000000,4,0,atomics_hotspot,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,288.79,0.00,30.027681,20.68
atomic_hotspot,7,0,50,5.802797,1.931915,4194304,0,0,50,256,16384,N,0,1677721600,0.000000,4,0,atomics_hotspot,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,289.12,0.00,120.110724,20.70
conv2d_3x3,30,0,50,0.010088,0.000327,0,512,512,0,256,1024,rows_cols,4718592,2097152,2.250000,2097152,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,207.89,467.74,0.150138,14.88
conv2d_3x3,30,0,50,0.017915,0.000090,0,1024,1024,0,256,4096,rows_cols,18874368,8388608,2.250000,8388608,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,468.24,1053.55,0.600554,33.52
conv2d_3x3,30,0,50,0.065357,0.000076,0,2048,2048,0,256,16384,rows_cols,75497472,33554432,2.250000,33554432,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,513.40,1155.16,2.402214,36.76
conv2d_3x3,30,0,50,0.177379,0.000108,0,3072,3072,0,256,36864,rows_cols,169869312,75497472,2.250000,75497472,0,stencil_3x3,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,425.63,957.66,5.404983,30.47
conv2d_7x7,40,0,50,0.021526,0.000107,0,512,512,0,256,1024,rows_cols,25690112,2097152,12.250000,2097152,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,97.42,1193.45,0.150138,6.97
conv2d_7x7,40,0,50,0.077950,0.000024,0,1024,1024,0,256,4096,rows_cols,102760448,8388608,12.250000,8388608,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,107.62,1318.29,0.600554,7.70
conv2d_7x7,40,0,50,0.304420,0.000037,0,2048,2048,0,256,16384,rows_cols,411041792,33554432,12.250000,33554432,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,110.22,1350.25,2.402214,7.89
conv2d_7x7,40,0,50,0.686512,0.000049,0,3072,3072,0,256,36864,rows_cols,924844032,75497472,12.250000,75497472,0,stencil_7x7,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,109.97,1347.16,5.404983,7.87
dot_product,15,1024,100,0.009653,0.000235,262144,0,0,0,256,1024,N,524288,2101252,0.249512,2097152,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,217.68,54.31,0.150432,15.58
dot_product,15,1024,100,0.014528,0.000052,1048576,0,0,0,256,4096,N,2097152,8404996,0.249513,8388608,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,578.54,144.35,0.601727,41.42
dot_product,15,1024,100,0.051180,0.000021,4194304,0,0,0,256,16384,N,8388608,33619972,0.249513,33554432,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,656.90,163.90,2.406907,47.03
dot_product,15,1024,100,0.146827,0.000059,8388608,0,0,0,256,32768,N,16777216,67239940,0.249513,67108864,1024,shared_reduction,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,457.95,114.27,4.813813,32.79
histogram,10,1024,50,0.014313,0.000027,262144,0,0,0,256,1024,N,0,2097152,0.000000,1049600,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,146.52,0.00,0.150138,10.49
histogram,10,1024,50,0.051404,0.000153,1048576,0,0,0,256,4096,N,0,8388608,0.000000,4195328,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,163.19,0.00,0.600554,11.68
histogram,10,1024,50,0.199868,0.000295,4194304,0,0,0,256,16384,N,0,33554432,0.000000,16778240,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,167.88,0.00,2.402214,12.02
histogram,10,1024,50,0.397565,0.000084,8388608,0,0,0,256,32768,N,0,67108864,0.000000,33555456,0,atomics_256bins,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,168.80,0.00,4.804429,12.08
matmul_naive,40,0,50,0.030181,0.000156,0,256,256,0,256,256,rows_cols,33554432,786432,42.666667,786432,0,mm_naive,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,26.06,1111.77,0.062591,2.07
matmul_naive,40,0,50,0.203909,0.000029,0,512,512,0,256,1024,rows_cols,268435456,3145728,85.333333,3145728,0,mm_naive,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,15.43,1316.45,0.500731,2.46
matmul_naive,40,0,50,1.556023,0.000086,0,1024,1024,0,256,4096,rows_cols,2147483648,12582912,170.666667,12582912,0,mm_naive,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,8.09,1380.11,4.005845,2.57
matmul_naive,40,0,50,12.283375,0.000336,0,2048,2048,0,256,16384,rows_cols,17179869184,50331648,341.333333,50331648,0,mm_naive,NVIDIA GeForce RTX 4070,89,46,1536,24,65536,102400,37748736,32,446.98,17154.80,4.10,1398.63,32.046763,2.61
