kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,N,rows,cols,iters,block,grid_blocks,size_kind,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
atomic_hotspot,--N 262144 --block 256 --iters 50 --warmup 10 --reps 50,7,0,NVIDIA TITAN V,256,1,1,1024,1,1,10,50,20,0.486523,0.161583,262144,0,0,50,256,1024,N,0,104857600,0.000000,4,0,atomics_hotspot,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,215.52,0.00
atomic_hotspot,--N 1048576 --block 256 --iters 50 --warmup 10 --reps 50,7,0,NVIDIA TITAN V,256,1,1,4096,1,1,10,50,20,1.940831,0.646403,1048576,0,0,50,256,4096,N,0,419430400,0.000000,4,0,atomics_hotspot,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,216.11,0.00
atomic_hotspot,--N 4194304 --block 256 --iters 50 --warmup 10 --reps 50,7,0,NVIDIA TITAN V,256,1,1,16384,1,1,10,50,20,7.757505,2.585297,4194304,0,0,50,256,16384,N,0,1677721600,0.000000,4,0,atomics_hotspot,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,216.27,0.00
conv2d_3x3,--H 512 --W 512 --warmup 10 --reps 50,30,0,NVIDIA TITAN V,16,16,1,32,32,1,10,50,10,0.005599,0.000032,0,512,512,0,256,1024,rows_cols,4718592,2097152,2.250000,2097152,0,stencil_3x3,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,374.56,842.76
conv2d_3x3,--H 1024 --W 1024 --warmup 10 --reps 50,30,0,NVIDIA TITAN V,16,16,1,64,64,1,10,50,10,0.018661,0.000045,0,1024,1024,0,256,4096,rows_cols,18874368,8388608,2.250000,8388608,0,stencil_3x3,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,449.53,1011.43
conv2d_3x3,--H 2048 --W 2048 --warmup 10 --reps 50,30,0,NVIDIA TITAN V,16,16,1,128,128,1,10,50,10,0.065932,0.000085,0,2048,2048,0,256,16384,rows_cols,75497472,33554432,2.250000,33554432,0,stencil_3x3,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,508.92,1145.08
conv2d_3x3,--H 3072 --W 3072 --warmup 10 --reps 50,30,0,NVIDIA TITAN V,16,16,1,192,192,1,10,50,10,0.149237,0.000212,0,3072,3072,0,256,36864,rows_cols,169869312,75497472,2.250000,75497472,0,stencil_3x3,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,505.89,1138.25
conv2d_7x7,--H 512 --W 512 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,32,32,1,10,50,10,0.016892,0.000058,0,512,512,0,256,1024,rows_cols,25690112,2097152,12.250000,2097152,0,stencil_7x7,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,124.15,1520.84
conv2d_7x7,--H 1024 --W 1024 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,64,64,1,10,50,10,0.058970,0.000023,0,1024,1024,0,256,4096,rows_cols,102760448,8388608,12.250000,8388608,0,stencil_7x7,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,142.25,1742.59
conv2d_7x7,--H 2048 --W 2048 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,128,128,1,10,50,10,0.223973,0.000379,0,2048,2048,0,256,16384,rows_cols,411041792,33554432,12.250000,33554432,0,stencil_7x7,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,149.81,1835.23
conv2d_7x7,--H 3072 --W 3072 --warmup 10 --reps 50,40,0,NVIDIA TITAN V,16,16,1,192,192,1,10,50,10,0.503433,0.000754,0,3072,3072,0,256,36864,rows_cols,924844032,75497472,12.250000,75497472,0,stencil_7x7,same,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,149.97,1837.07
dot_product,--N 262144 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA TITAN V,256,1,1,1024,1,1,20,100,10,0.004418,0.000026,262144,0,0,0,256,1024,N,524288,2101252,0.249512,2097152,1024,shared_reduction,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,475.61,118.67
dot_product,--N 1048576 --block 256 --warmup 20 --reps 100,15,1024,NVIDIA TITAN V,256,1,1,4096,1,1,20,100,10,0.016985,0.000025,1048576,0,0,0,256,4096,N,2097152,8404996,0.249513,8388608,1024,shared_reduction,,NVIDIA TITAN V,70,0,80,2048,32,65536,98304,4718592,32,609.90,13480.10,494.85,123.47
