kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind,N,FLOPs,BYTES,arithmetic_intensity,working_set_bytes,shared_bytes,mem_pattern,conv_padding,gpu_device_name,gpu_cc_major,gpu_cc_minor,gpu_sms,gpu_max_threads_per_sm,gpu_max_blocks_per_sm,gpu_regs_per_sm,gpu_shared_mem_per_sm,gpu_l2_bytes,gpu_warp_size,calibrated_mem_bandwidth_gbps,calibrated_compute_gflops,achieved_bandwidth_gbps,achieved_compute_gflops
saxpy,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.050901,0.000048,0,0,0,256,256,N,65536,131072,786432,0.166667,786432,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,15.45,2.58
saxpy,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.050900,0.000039,0,0,0,256,1024,N,262144,524288,3145728,0.166667,3145728,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,61.80,10.30
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.051077,0.000122,0,0,0,256,4096,N,1048576,2097152,12582912,0.166667,12582912,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,246.35,41.06
saxpy,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.051189,0.000039,0,0,0,256,16384,N,4194304,8388608,50331648,0.166667,50331648,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,983.25,163.88
vector_add,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.050858,0.000046,0,0,0,256,256,N,65536,65536,786432,0.083333,786432,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,15.46,1.29
vector_add,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.050877,0.000043,0,0,0,256,1024,N,262144,262144,3145728,0.083333,3145728,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,61.83,5.15
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.050905,0.000025,0,0,0,256,4096,N,1048576,1048576,12582912,0.083333,12582912,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,247.18,20.60
vector_add,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.051178,0.000053,0,0,0,256,16384,N,4194304,4194304,50331648,0.083333,50331648,0,coalesced,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,983.46,81.96
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 10 --warmup 10 --reps 50,7,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,10,50,40,2.591093,2.013121,0,0,10,256,4096,N,1048576,0,83886080,0.000000,4,0,atomics_hotspot,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,32.37,0.00
vector_add_divergent,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.166635,0.000069,0,0,0,256,256,N,65536,65536,786432,0.083333,786432,0,divergent,,NVIDIA GeForce GTX TITAN X,52,0,24,2048,32,65536,98304,3145728,32,256.43,6206.80,4.72,0.39
