kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,trials,mean_ms,std_ms,rows,cols,iters,block,grid_blocks,size_kind
saxpy,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.050901,0.000048,65536,1,0,256,256,rows_cols
saxpy,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.050900,0.000039,262144,1,0,256,1024,rows_cols
saxpy,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.051077,0.000122,1048576,1,0,256,4096,rows_cols
saxpy,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.051189,0.000039,4194304,1,0,256,16384,rows_cols
vector_add,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.050858,0.000046,65536,1,0,256,256,rows_cols
vector_add,--rows 262144 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,1024,1,1,20,100,10,0.050877,0.000043,262144,1,0,256,1024,rows_cols
vector_add,--rows 1048576 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,20,100,10,0.050905,0.000025,1048576,1,0,256,4096,rows_cols
vector_add,--rows 4194304 --cols 1 --block 256 --warmup 20 --reps 100,12,0,NVIDIA GeForce GTX TITAN X,256,1,1,16384,1,1,20,100,10,0.051178,0.000053,4194304,1,0,256,16384,rows_cols
atomic_hotspot,--rows 1048576 --cols 1 --block 256 --iters 10 --warmup 10 --reps 50,7,0,NVIDIA GeForce GTX TITAN X,256,1,1,4096,1,1,10,50,40,2.591093,2.013121,1048576,1,10,256,4096,rows_cols
vector_add_divergent,--rows 65536 --cols 1 --block 256 --warmup 20 --reps 100,15,0,NVIDIA GeForce GTX TITAN X,256,1,1,256,1,1,20,100,10,0.166635,0.000069,65536,1,0,256,256,rows_cols
