kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
atomic_hotspot,atomic_hotspot|N=1048576|rows=0|cols=0|block=256|iters=50,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,1.452348,1.940831,1.0643884391539595,0.5484189190887613,0.4515810809112388,other
atomic_hotspot,atomic_hotspot|N=262144|rows=0|cols=0|block=256|iters=50,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.364914,0.486523,0.2674360710280374,0.5496884443860566,0.4503115556139434,other
atomic_hotspot,atomic_hotspot|N=4194304|rows=0|cols=0|block=256|iters=50,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,5.802797,7.757505,4.2527204509919665,0.5482072458853673,0.45179275411463266,test_extra
conv2d_3x3,conv2d_3x3|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce RTX 2080 Ti,NVIDIA TITAN V,0.000154,0.018661,0.00013663049680275453,0.007321713563193533,0.9926782864368066,other
conv2d_3x3,conv2d_3x3|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.017915,0.018661,0.013129442039678642,0.7035765521504015,0.2964234478495985,other
conv2d_3x3,conv2d_3x3|N=0|rows=1024|cols=1024|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.06722,0.018661,0.028262378422692247,1.5145157506399574,0.5145157506399575,other
conv2d_3x3,conv2d_3x3|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.065357,0.065932,0.04789846181341204,0.7264827672967912,0.27351723270320877,other
conv2d_3x3,conv2d_3x3|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.067206,0.065932,0.02825649217904574,0.4285702265826266,0.5714297734173733,other
conv2d_3x3,conv2d_3x3|N=0|rows=3072|cols=3072|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.177379,0.149237,0.12999650011477296,0.8710741981865955,0.12892580181340452,test_extra
conv2d_3x3,conv2d_3x3|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.010088,0.005599,0.0073932353500573865,1.3204563940091778,0.32045639400917786,train_extra
conv2d_3x3,conv2d_3x3|N=0|rows=512|cols=512|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.067216,0.005599,0.028260696638793246,5.0474543023384975,4.0474543023384975,train_extra
