kernel,config_id,src_gpu,tgt_gpu,T_src_ms,T_tgt_true_ms,T_tgt_pred_ms,ratio_pred_over_true,abs_rel_error,config_role
atomic_hotspot,atomic_hotspot|N=4194304|rows=0|cols=0|block=256|iters=50,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,5.802797,7.757505,4.2527204509919665,0.5482072458853673,0.45179275411463266,test_extra
atomic_hotspot,atomic_hotspot|N=4194304|rows=0|cols=0|block=256|iters=50,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,7.757505,5.802797,10.585042506376125,1.824127658847298,0.8241276588472981,test_extra
conv2d_3x3,conv2d_3x3|N=0|rows=3072|cols=3072|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.177379,0.149237,0.12999650011477296,0.8710741981865955,0.12892580181340452,test_extra
conv2d_3x3,conv2d_3x3|N=0|rows=3072|cols=3072|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.149237,0.177379,0.20363248087162733,1.1480078299664973,0.14800782996649728,test_extra
conv2d_7x7,conv2d_7x7|N=0|rows=3072|cols=3072|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.686512,0.503433,0.6708359485380118,1.332522795561697,0.33252279556169684,test_extra
conv2d_7x7,conv2d_7x7|N=0|rows=3072|cols=3072|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.503433,0.686512,0.5151971900868048,0.7504562048249772,0.2495437951750228,test_extra
dot_product,dot_product|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.146827,0.108007,0.10760572628299724,0.9962847434240116,0.003715256575988318,test_extra
dot_product,dot_product|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.108007,0.146827,0.14737453420734709,1.0037291111808255,0.0037291111808255453,test_extra
histogram,histogram|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.397565,0.523311,0.2913651478930972,0.5567724505945741,0.4432275494054258,test_extra
histogram,histogram|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.523311,0.397565,0.7140529305561769,1.7960658774192317,0.7960658774192318,test_extra
matmul_naive,matmul_naive|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,12.283375,9.412546,20.842460758204066,2.2143276386860755,1.2143276386860753,test_extra
matmul_naive,matmul_naive|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,12.283375,0.666934,45.266233045477,67.87213284294548,66.87213284294548,test_extra
matmul_naive,matmul_naive|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,9.412546,12.283375,5.547225616209458,0.4516043527295599,0.5483956472704401,test_extra
matmul_naive,matmul_naive|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,9.412546,0.666934,20.442427875008054,30.651350620913092,29.651350620913092,test_extra
matmul_naive,matmul_naive|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.666934,12.283375,0.18097817890036608,0.014733587381348048,0.985266412618652,test_extra
matmul_naive,matmul_naive|N=0|rows=2048|cols=2048|block=256|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.666934,9.412546,0.3070842168233173,0.032624989755515386,0.9673750102444846,test_extra
matmul_tiled,matmul_tiled|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,10.141827,4.79071,17.208676871299172,3.592093211924573,2.592093211924573,test_extra
matmul_tiled,matmul_tiled|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce RTX 4070,NVIDIA GeForce GTX TITAN X,10.141827,0.311182,37.37428064264999,120.10424974018417,119.10424974018416,test_extra
matmul_tiled,matmul_tiled|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,4.79071,10.141827,2.8233752304457065,0.2783892123623985,0.7216107876376016,test_extra
matmul_tiled,matmul_tiled|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA TITAN V,NVIDIA GeForce GTX TITAN X,4.79071,0.311182,10.404596550718566,33.43572748654667,32.43572748654667,test_extra
matmul_tiled,matmul_tiled|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce RTX 4070,0.311182,10.141827,0.08444186631146967,0.008326100051940314,0.9916738999480595,test_extra
matmul_tiled,matmul_tiled|N=0|rows=2048|cols=2048|block=1024|iters=0,NVIDIA GeForce GTX TITAN X,NVIDIA TITAN V,0.311182,4.79071,0.14328116539194813,0.02990812747837964,0.9700918725216203,test_extra
random_access,random_access|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.15142,0.117917,0.11097181767502871,0.9411010937780704,0.05889890622192967,test_extra
random_access,random_access|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.117917,0.15142,0.16089663586737657,1.0625851001675906,0.06258510016759061,test_extra
reduce_sum,reduce_sum|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.09398,0.056742,0.06887552123298903,1.2138366859291005,0.21383668592910057,test_extra
reduce_sum,reduce_sum|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.056742,0.09398,0.077423924560383,0.8238340557606193,0.17616594423938073,test_extra
saxpy,saxpy|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.224415,0.168407,0.16446797294638468,0.9766100752723146,0.02338992472768542,test_extra
saxpy,saxpy|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.168407,0.224415,0.22978976531388431,1.0239501161414537,0.023950116141453606,test_extra
strided_copy_8,strided_copy_8|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.161892,0.115339,0.11864647673389082,1.028676134992421,0.028676134992420835,test_extra
strided_copy_8,strided_copy_8|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.115339,0.161892,0.1573789791489552,0.97212326210656,0.02787673789344005,test_extra
vector_add_divergent,vector_add_divergent|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.421737,0.632452,0.3090801840629612,0.48870140985080485,0.5112985901491952,test_extra
vector_add_divergent,vector_add_divergent|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.632452,0.421737,0.8629747970826434,2.0462392369714855,1.0462392369714855,test_extra
vector_add,vector_add|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA GeForce RTX 4070,NVIDIA TITAN V,0.224427,0.168345,0.16447676743728482,0.9770219931526616,0.02297800684733838,test_extra
vector_add,vector_add|N=8388608|rows=0|cols=0|block=256|iters=0,NVIDIA TITAN V,NVIDIA GeForce RTX 4070,0.168345,0.224427,0.2297051668978478,1.023518413104697,0.02351841310469696,test_extra
