kernel,count,PK_MAPE_%,PK_MAX_%,PK_MedAE_ms,PK_R2
atomic_hotspot,2,99.68361113894186,99.71161430124762,6.7589730475,-47.822852057200016
vector_add_divergent,2,96.00165897625024,96.54368078526117,0.506590525,-23.09418665691893
histogram,2,95.65471680638993,95.98946706642894,0.4406411325,-49.080598816247544
conv2d_7x7,2,94.69128161048152,95.13685922460205,0.563794965,-37.88603898939404
vector_add,2,89.67150989254814,91.79457462782997,0.17669761999999994,-39.80054084379335
saxpy,2,89.59752965570542,91.39141991399862,0.17648176499999998,-39.75951554347618
random_access,2,84.89305875674553,87.83059371285165,0.11481628999999997,-47.15595947612932
strided_copy_8,2,84.38081296544115,88.33099535492795,0.11788434999999997,-25.813729662528214
dot_product,2,83.72978603908673,87.33816328059554,0.1073863675,-30.762706457514877
conv2d_3x3,2,80.76668564467815,81.20445486782542,0.13196005750000006,-87.68682071694315
matmul_naive,6,76.51555724879401,99.7014620574557,9.376008397500001,-2.2492001733975697
reduce_sum,2,75.82099471040573,83.30950202170675,0.058533745,-10.00963137376791
matmul_tiled,6,67.18411094794658,99.71534566700852,4.7648148725,-1.5792155289846432
