kernel,count,mean_%,median_%,max_%
conv2d_3x3,6,149.5562681975388,77.01359680528354,404.74543023384973
conv2d_7x7,6,202.0747573283606,83.15895920198541,566.595538016135
dot_product,6,123.9207941925837,70.06077215880968,334.42594616027344
histogram,6,227.4741466151998,84.29668432756598,720.0269090806349
matmul_naive,6,291.0636624924088,86.92518384128851,953.6939886139972
naive_transpose,12,41.03445783212903,38.421136106015354,91.5624936624408
random_access,6,108.588561377958,66.25537914008382,282.4667852105661
reduce_sum,6,111.59709616748748,71.09603723253339,294.2658855258856
saxpy,6,140.71237340065116,74.70429312502857,384.7270694172802
strided_copy_8,6,120.43783725480901,75.16763380164394,325.73065006935207
vector_add,6,142.83982472372497,74.11138529195685,398.62540460031846
